0 -11 -50 0 -10.8366 -11.1939 -10.4561 -3.84592 -9.6458 -21.6733 -9.54323 9.1615 -1.32203 -11.1772 1.44222 -16.3451 2.16333 0.961479 14.124 -27.9935 14.5057 16.9233 12.7243 -8.90701 
0 11 -50 -0 -10.4561 3.84592 -10.8366 11.1939 -9.54323 -9.1615 -9.6458 21.6733 -1.32203 11.1772 2.16333 -0.961479 1.44222 16.3451 14.5057 -16.9233 14.124 27.9935 12.7243 8.90701 
0 -35 -50 0 -7.81202 -20.3112 -8.65331 -10.4561 -2.16333 -33.0508 -5.37 4.29 -0.48074 -16.4653 2.88444 -28.7242 5.49 -0.12 15.1433 -32.9307 14.8855 18.3389 14.8855 -12.5038 
0 35 -50 -0 -8.65331 10.4561 -7.81202 20.3112 -5.37 -4.29 -2.16333 33.0508 -0.48074 16.4653 5.49 0.12 2.88444 28.7242 14.8855 -18.3389 15.1433 32.9307 14.8855 12.5038 
22.745 -30.0092 -50 0 -0.961479 -16.5855 1.68259 -2.28351 1.84943 -27.7103 4.21037 8.37054 12.3847 -17.1481 21.0324 -29.5655 18.6156 0.378252 26.0801 -24.8783 27.0017 16.0903 27.7466 -9.16947 
22.745 30.0092 -50 -0 1.68259 2.28351 -0.961479 16.5855 4.21037 -8.37054 1.84943 27.7103 12.3847 17.1481 18.6156 -0.378252 21.0324 29.5655 27.0017 -16.0903 26.0801 24.8783 27.7466 9.16947 
-12 -19 -50 0 -14.0616 -18.5085 -18.1008 -7.14504 -16.9461 -24.2773 -17.4268 3.60555 -8.29276 -12.7396 -5.88906 -20.6718 -1.52692 3.94454 3.45344 -30.4855 3.33435 25.1267 2.38168 -8.09771 
-12 19 -50 -0 -18.1008 7.14504 -14.0616 18.5085 -17.4268 -3.60555 -16.9461 24.2773 -8.29276 12.7396 -1.52692 -3.94454 -5.88906 20.6718 3.33435 -25.1267 3.45344 30.4855 2.38168 8.09771 
-42.1009 -28.0275 -50.0039 -0.0445677 -42.1557 -14.6473 -41.863 -6.87113 -42.9893 -26.0794 -40.7178 1.52692 -35.2142 -15.5039 -37.2573 -22.8351 -22.0305 1.19084 -18.9892 -32.3297 -12.7615 21.7064 -10.3603 -13.9328 
-42.1009 28.0275 -50.0039 0.0445677 -41.863 6.87113 -42.1557 14.6473 -40.7178 -1.52692 -42.9893 26.0794 -35.2142 15.5039 -22.0305 -1.19084 -37.2573 22.8351 -12.7615 -21.7064 -18.9892 32.3297 -10.3603 13.9328 
